Designator,Val,Mid X,Mid Y,Rotation,Layer
ANT1,U.FL-R-SMT_IPEX,25.000,19.000,0,Top
C1,100nF,27.500,0.800,0,Top
C2,100nF,28.500,4.500,90,Top
C3,100nF,19.500,20.500,0,Top
C4,100nF,12.900,17.000,90,Top
C5,1uF,28.500,7.500,90,Top
C6,100nF,28.000,27.500,0,Top
J1,JST-GH_1.25mm_2P,23.000,24.500,0,Top
J2,USB_C_Charge,15.000,33.000,0,Top
LED1,RED_0402,17.000,28.500,0,Top
LED2,BLUE_0402,20.000,28.500,0,Top
R2,5k0,25.000,33.500,0,Top
R3,330R,17.000,29.500,0,Top
R4,330R,20.000,29.500,0,Top
R5,5k1_CC1,5.000,33.000,0,Top
R6,5k1_CC2,8.000,33.000,0,Top
SW1,MSK12C02,3.000,30.000,0,Top
U2,ATtiny3226-MFR_VQFN20,15.000,22.500,0,Top
U3,ATGM336H-5N31,6.600,22.000,0,Top
U4,TP4056,25.000,30.500,0,Top
